year,policy,patents,papers,policy_events,papers_index,patents_index,policy_events_index
2020,32,26990,73035,42.0,100.0,100.0,100.0
2021,129,22171,90911,102.0,124.475936194975,82.14523897739903,242.85714285714286
2022,127,13510,113817,120.0,155.83898131033067,50.05557613931086,285.7142857142857
2023,474,6935,120538,418.0,165.04141849798043,25.6947017413857,995.2380952380952
2024,699,3154,151725,717.0,207.7428630108852,11.685809559095961,1707.142857142857
