layer,topic_id,label,l3_final_l2,x,y,is_hardware
Policy,POLICY-REF-0035,AI security,AI cybersecurity and resilience,0.4104432,1.0886415,False
Policy,POLICY-REF-0105,Critical infrastructure protection,AI cybersecurity and resilience,0.024194894,1.0887586,False
Policy,POLICY-REF-0107,Cyber-Physical Systems Security,AI cybersecurity and resilience,0.3055089,1.1845114,False
Policy,POLICY-REF-0160,Dual-use AI,AI cybersecurity and resilience,0.47081992,1.1743557,False
Policy,POLICY-REF-0177,Epistemic Security,AI cybersecurity and resilience,0.26551762,1.2821661,False
Policy,POLICY-REF-0237,Harm Reduction Models,AI cybersecurity and resilience,0.14482461,1.3465004,False
Policy,POLICY-REF-0246,Human-Command-In,AI cybersecurity and resilience,-0.25078693,2.1560752,False
Policy,POLICY-REF-0313,National Security and AI,AI cybersecurity and resilience,0.25443926,1.1432428,False
Policy,POLICY-REF-0337,Privacy-enhancing technologies,AI cybersecurity and resilience,-0.6539281,0.5956355,False
Policy,POLICY-REF-0366,Reliability and robustness,AI cybersecurity and resilience,0.5542878,0.66745436,False
Policy,POLICY-REF-0385,Safe-by-Design,AI cybersecurity and resilience,-0.07077805,0.87899405,False
Policy,POLICY-REF-0388,Safety Engineering,AI cybersecurity and resilience,0.323692,1.1651897,False
Policy,POLICY-REF-0391,Sandboxing,AI cybersecurity and resilience,-0.06129693,1.2967136,False
Policy,POLICY-REF-0449,Threat modelling,AI cybersecurity and resilience,0.3974912,0.96355134,False
Policy,POLICY-REF-0469,Weaponized AI,AI cybersecurity and resilience,1.3641682,0.99499226,False
Policy,POLICY-REF-0475,Zero-trust architecture in AI,AI cybersecurity and resilience,0.07236555,1.3663298,False
Policy,POLICY-REF-0010,AI arms race,"AI economy, labor, and industrial policy",-0.6877956,1.9745488,False
Policy,POLICY-REF-0021,AI for public services,"AI economy, labor, and industrial policy",-0.20698242,2.3235683,False
Policy,POLICY-REF-0026,AI investment,"AI economy, labor, and industrial policy",-0.25662354,2.271258,False
Policy,POLICY-REF-0006,administrative use of AI,"AI economy, labor, and industrial policy",-0.2942972,2.2525494,False
Policy,POLICY-REF-0061,automation,"AI economy, labor, and industrial policy",0.7902903,1.8660074,False
Policy,POLICY-REF-0090,competition policy,"AI economy, labor, and industrial policy",-0.1171019,2.1605363,False
Policy,POLICY-REF-0094,compute access,"AI economy, labor, and industrial policy",0.32845706,2.115146,False
Policy,POLICY-REF-0142,digital divide,"AI economy, labor, and industrial policy",0.26141566,2.18472,False
Policy,POLICY-REF-0146,digital literacy,"AI economy, labor, and industrial policy",-0.19417292,2.1615963,False
Policy,POLICY-REF-0166,economic competitiveness,"AI economy, labor, and industrial policy",0.08871923,2.1141834,False
Policy,POLICY-REF-0174,environmental impact of AI,"AI economy, labor, and industrial policy",-0.7005042,2.3939078,False
Policy,POLICY-REF-0218,future of work,"AI economy, labor, and industrial policy",0.37137237,2.0574179,False
Policy,POLICY-REF-0261,industrial policy,"AI economy, labor, and industrial policy",0.06281682,1.994605,False
Policy,POLICY-REF-0265,innovation policy,"AI economy, labor, and industrial policy",0.024664521,2.044803,False
Policy,POLICY-REF-0281,job displacement,"AI economy, labor, and industrial policy",0.85348064,1.8416002,False
Policy,POLICY-REF-0282,labor market disruption,"AI economy, labor, and industrial policy",0.58332896,1.9503859,False
Policy,POLICY-REF-0297,market concentration,"AI economy, labor, and industrial policy",-0.074936286,1.6906037,False
Policy,POLICY-REF-0339,procurement policy,"AI economy, labor, and industrial policy",-0.4456772,2.1813836,False
Policy,POLICY-REF-0342,productivity growth,"AI economy, labor, and industrial policy",0.21775918,2.0989282,False
Policy,POLICY-REF-0368,reskilling and upskilling,"AI economy, labor, and industrial policy",0.8267469,1.8833315,False
Policy,POLICY-REF-0398,semiconductor supply chain,"AI economy, labor, and industrial policy",1.7482064,1.2197764,False
Science,SCIENCE-REF-1213,skill-biased technological change,AI innovation and economic institutions,1.1105641,2.1762562,False
Policy,POLICY-REF-0405,social scoring,"AI economy, labor, and industrial policy",0.54703206,1.6527176,False
Policy,POLICY-REF-0426,sustainability and AI,"AI economy, labor, and industrial policy",-0.33528537,2.6064794,False
Policy,POLICY-REF-0437,techno-nationalism,"AI economy, labor, and industrial policy",0.06739371,1.9740376,False
Policy,POLICY-REF-0443,technology transfer,"AI economy, labor, and industrial policy",0.57750416,1.9551854,False
Policy,POLICY-REF-0474,workforce transition,"AI economy, labor, and industrial policy",0.5527857,1.9001852,False
Policy,POLICY-REF-0009,AI and the public interest,AI ethics and human-centered governance,-0.21176763,2.4654765,False
Policy,POLICY-REF-0018,AI ethics,AI ethics and human-centered governance,-0.13735485,3.6719759,False
Policy,POLICY-REF-0045,algorithmic impact assessment,AI ethics and human-centered governance,0.24460886,2.053938,False
Policy,POLICY-REF-0058,automated decision-making,AI ethics and human-centered governance,0.6588223,2.4681325,False
Policy,POLICY-REF-0067,beneficence,AI ethics and human-centered governance,-0.11223973,3.446753,False
Policy,POLICY-REF-0138,democratic oversight,AI ethics and human-centered governance,-0.4714177,2.2614884,False
Policy,POLICY-REF-0151,dignity and autonomy,AI ethics and human-centered governance,-0.36204553,3.5529149,False
Policy,POLICY-REF-0169,election integrity,AI ethics and human-centered governance,-0.49541262,2.5702171,False
Policy,POLICY-REF-0185,ethical impact assessment,AI ethics and human-centered governance,0.06488785,1.9675771,False
Policy,POLICY-REF-0186,ethical principles,AI ethics and human-centered governance,-0.24704596,3.3705366,False
Policy,POLICY-REF-0251,human oversight,AI ethics and human-centered governance,-0.200132,2.491621,False
Policy,POLICY-REF-0254,human rights impact assessment,AI ethics and human-centered governance,-0.44440335,2.4207413,False
Policy,POLICY-REF-0244,human-centered AI,AI ethics and human-centered governance,0.2602409,3.1232405,False
Policy,POLICY-REF-0249,human-in-the-loop,AI ethics and human-centered governance,-0.031629797,2.5114021,False
Policy,POLICY-REF-0250,human-on-the-loop,AI ethics and human-centered governance,-0.00058664806,2.4771743,False
Policy,POLICY-REF-0289,legal personhood,AI ethics and human-centered governance,-0.94081646,2.8906927,False
Policy,POLICY-REF-0298,meaningful human control,AI ethics and human-centered governance,-0.3000372,2.6659942,False
Policy,POLICY-REF-0309,moral responsibility,AI ethics and human-centered governance,-0.1524065,3.794405,False
Policy,POLICY-REF-0319,non-maleficence,AI ethics and human-centered governance,-0.19778411,3.2083225,False
Policy,POLICY-REF-0369,responsibility attribution,AI ethics and human-centered governance,-0.5806651,3.295035,False
Policy,POLICY-REF-0370,responsible AI,AI ethics and human-centered governance,-0.3487989,3.3018968,False
Policy,POLICY-REF-0423,surveillance,AI ethics and human-centered governance,0.21204484,1.7827038,False
Policy,POLICY-REF-0459,trustworthy AI,AI ethics and human-centered governance,-0.39148733,3.0203433,False
Policy,POLICY-REF-0464,value alignment,AI ethics and human-centered governance,0.81273067,3.6291544,False
Policy,POLICY-REF-0466,value-sensitive design,AI ethics and human-centered governance,0.28537858,3.2143521,False
Policy,POLICY-REF-0033,AI safety,AI safety and risk management,0.18836802,1.2366563,False
Policy,POLICY-REF-0053,Artificial General Intelligence Risk,AI safety and risk management,0.08284737,1.252955,False
Policy,POLICY-REF-0007,adversarial robustness,AI safety and risk management,0.7597871,0.44765413,False
Policy,POLICY-REF-0072,capability evaluation,AI safety and risk management,0.34687042,0.38392875,False
Policy,POLICY-REF-0076,catastrophic risk,AI safety and risk management,0.1807373,0.5780513,False
Policy,POLICY-REF-0112,dangerous capabilities,AI safety and risk management,0.2550689,0.5876986,False
Policy,POLICY-REF-0162,dual-use technology,AI safety and risk management,0.45787483,1.0728805,False
Policy,POLICY-REF-0195,existential risk,AI safety and risk management,0.15936264,0.6038819,False
Policy,POLICY-REF-0203,fail-safe design,AI safety and risk management,0.035361715,0.7647035,False
Policy,POLICY-REF-0214,frontier model safety,AI safety and risk management,0.042887393,0.5552415,False
Policy,POLICY-REF-0238,high-risk AI systems,AI safety and risk management,-0.21401285,1.7066123,False
Policy,POLICY-REF-0257,incident reporting,AI safety and risk management,-0.02405991,1.6172462,False
Policy,POLICY-REF-0301,misuse potential,AI safety and risk management,0.30133924,0.66632634,False
Policy,POLICY-REF-0303,model evaluation,AI safety and risk management,0.6461684,0.27990675,False
Policy,POLICY-REF-0332,precautionary ethics,AI safety and risk management,-0.2702404,3.8853834,False
Policy,POLICY-REF-0333,precautionary principle,AI safety and risk management,-0.29840025,0.54095566,False
Policy,POLICY-REF-0357,red-teaming,AI safety and risk management,0.46510407,0.6292116,False
Policy,POLICY-REF-0378,risk assessment,AI safety and risk management,0.12914366,0.6132067,False
Policy,POLICY-REF-0380,risk mitigation,AI safety and risk management,-0.07355358,0.5501432,False
Policy,POLICY-REF-0381,risk tiering,AI safety and risk management,0.09744176,0.552628,False
Policy,POLICY-REF-0382,robustness testing,AI safety and risk management,0.50893015,0.43812945,False
Policy,POLICY-REF-0387,safety case,AI safety and risk management,0.08054304,0.80180746,False
Policy,POLICY-REF-0389,safety guardrails,AI safety and risk management,-0.014746189,0.5681123,False
Policy,POLICY-REF-0433,systemic risk,AI safety and risk management,0.15638532,0.6182086,False
Policy,POLICY-REF-0461,unacceptable risk,AI safety and risk management,0.13743708,0.5922017,False
Policy,POLICY-REF-0063,Autonomous weapons governance,AI security and critical infrastructure,-1.8896005,1.66491,False
Policy,POLICY-REF-0066,Benchmark governance,AI security and critical infrastructure,-1.8553994,1.4693171,False
Policy,POLICY-REF-0073,Capability thresholds,AI security and critical infrastructure,-1.8786517,1.4706442,False
Policy,POLICY-REF-0092,Computational infrastructure policy,AI security and critical infrastructure,-2.0163412,1.4463629,False
Policy,POLICY-REF-0108,Cyber resilience,AI security and critical infrastructure,-2.0404105,1.3142518,False
Policy,POLICY-REF-0111,Cybersecurity by design,AI security and critical infrastructure,-2.1041276,1.1361108,False
Policy,POLICY-REF-0114,Data access governance,AI security and critical infrastructure,-1.7596678,1.1133764,False
Policy,POLICY-REF-0156,Disinformation resilience,AI security and critical infrastructure,-2.369169,1.331353,False
Policy,POLICY-REF-0173,Environmental impact assessment,AI security and critical infrastructure,-2.2845104,1.4748213,False
Policy,POLICY-REF-0175,Environmental sustainability,AI security and critical infrastructure,-2.3728883,1.5292867,False
Policy,POLICY-REF-0187,Ethical procurement,AI security and critical infrastructure,-2.4823835,1.5151011,False
Policy,POLICY-REF-0190,Evaluation benchmarks,AI security and critical infrastructure,-2.1738665,1.346998,False
Policy,POLICY-REF-0210,Foundation model governance,AI security and critical infrastructure,-1.9444879,1.4565637,False
Policy,POLICY-REF-0236,Harm prevention,AI security and critical infrastructure,-2.2411597,1.2417436,False
Policy,POLICY-REF-0296,Machine translation evaluation,AI security and critical infrastructure,-2.0646665,1.7255361,False
Policy,POLICY-REF-0367,Research security,AI security and critical infrastructure,-2.0810068,1.2151932,False
Policy,POLICY-REF-0395,Security incident response,AI security and critical infrastructure,-2.1034076,1.2157387,False
Policy,POLICY-REF-0396,Security testing,AI security and critical infrastructure,-2.0629997,1.1469944,False
Policy,POLICY-REF-0427,Sustainability by design,AI security and critical infrastructure,-2.2899668,1.4504745,False
Policy,POLICY-REF-0444,"Test, evaluation, verification and validation",AI security and critical infrastructure,-2.2507184,1.4248259,False
Policy,POLICY-REF-0062,Autonomous agents,"AI, rights, and biometrics",-2.0486443,1.7897377,False
Policy,POLICY-REF-0065,Behavioural manipulation,"AI, rights, and biometrics",-2.1271973,1.6177315,False
Policy,POLICY-REF-0069,Biometric categorisation,"AI, rights, and biometrics",-2.233539,1.2912675,False
Policy,POLICY-REF-0070,Biometric identification,"AI, rights, and biometrics",-2.0550592,1.2361473,False
Policy,POLICY-REF-0081,Civil liberties,"AI, rights, and biometrics",-2.4646084,1.1811855,False
Policy,POLICY-REF-0083,Civil rights safeguards,"AI, rights, and biometrics",-2.3264716,1.113685,False
Policy,POLICY-REF-0115,Data altruism,"AI, rights, and biometrics",-1.9312167,1.1533799,False
Policy,POLICY-REF-0136,Democratic accountability,"AI, rights, and biometrics",-2.5029461,1.3806149,False
Policy,POLICY-REF-0137,Democratic integrity,"AI, rights, and biometrics",-2.5659342,1.2647998,False
Policy,POLICY-REF-0144,Digital identity,"AI, rights, and biometrics",-2.1271553,1.0618904,False
Policy,POLICY-REF-0148,Digital rights,"AI, rights, and biometrics",-2.0969572,1.0959722,False
Policy,POLICY-REF-0157,Distributional impacts,"AI, rights, and biometrics",-2.3569522,1.3989052,False
Policy,POLICY-REF-0158,Diversity and inclusion,"AI, rights, and biometrics",-2.3849957,1.2315233,False
Policy,POLICY-REF-0170,Employment impacts,"AI, rights, and biometrics",-2.3400416,1.5072958,False
Policy,POLICY-REF-0178,Equal access,"AI, rights, and biometrics",-2.357866,1.2008097,False
Policy,POLICY-REF-0180,Equality law compliance,"AI, rights, and biometrics",-2.3624473,1.2493708,False
Policy,POLICY-REF-0182,Equity by design,"AI, rights, and biometrics",-2.3398223,1.1572678,False
Policy,POLICY-REF-0196,Expert systems accountability,"AI, rights, and biometrics",-2.2264597,1.6747023,False
Policy,POLICY-REF-0204,Fair exposure,"AI, rights, and biometrics",-2.500841,1.2413244,False
Policy,POLICY-REF-0217,Fundamental rights impact assessment,"AI, rights, and biometrics",-2.355759,1.2129672,False
Policy,POLICY-REF-0240,Human agency,"AI, rights, and biometrics",-2.356257,1.3301054,False
Policy,POLICY-REF-0248,Human fallback,"AI, rights, and biometrics",-2.4121647,1.2658541,False
Policy,POLICY-REF-0252,Human rights by design,"AI, rights, and biometrics",-2.2992177,1.0787405,False
Policy,POLICY-REF-0253,Human rights due diligence,"AI, rights, and biometrics",-2.458878,1.1347071,False
Policy,POLICY-REF-0263,Information integrity,"AI, rights, and biometrics",-2.4907799,1.2889668,False
Policy,POLICY-REF-0267,Institutional review,"AI, rights, and biometrics",-2.309803,1.4740845,False
Policy,POLICY-REF-0269,Integrity of elections,"AI, rights, and biometrics",-2.557788,1.408387,False
Policy,POLICY-REF-0274,International standards,"AI, rights, and biometrics",-2.0448477,1.3857749,False
Policy,POLICY-REF-0277,Interoperability standards,"AI, rights, and biometrics",-1.9694172,1.3804775,False
Policy,POLICY-REF-0283,Labour market transition,"AI, rights, and biometrics",-2.1881232,1.5864943,False
Policy,POLICY-REF-0287,Legal certainty,"AI, rights, and biometrics",-2.5110714,1.3462689,False
Policy,POLICY-REF-0294,Lifecycle risk management,"AI, rights, and biometrics",-2.0468264,1.3752446,False
Policy,POLICY-REF-0304,Model monitoring,"AI, rights, and biometrics",-2.1149817,1.4191645,False
Policy,POLICY-REF-0305,Model risk management,"AI, rights, and biometrics",-2.0608757,1.3013153,False
Policy,POLICY-REF-0321,Notice and explanation,"AI, rights, and biometrics",-2.5953736,1.4386976,False
Policy,POLICY-REF-0323,Open data policy,"AI, rights, and biometrics",-2.0365152,1.162565,False
Policy,POLICY-REF-0345,Public accountability,"AI, rights, and biometrics",-2.418158,1.4273419,False
Policy,POLICY-REF-0349,Public safety,"AI, rights, and biometrics",-2.3450365,1.2172573,False
Policy,POLICY-REF-0351,Public sector algorithm registers,"AI, rights, and biometrics",-2.1744697,1.6959956,False
Policy,POLICY-REF-0359,Regulatory capacity,"AI, rights, and biometrics",-2.0132892,1.5174515,False
Policy,POLICY-REF-0361,Regulatory coherence,"AI, rights, and biometrics",-2.4721444,1.4069122,False
Policy,POLICY-REF-0364,Regulatory impact assessment,"AI, rights, and biometrics",-2.2867568,1.4604357,False
Policy,POLICY-REF-0371,Responsible innovation,"AI, rights, and biometrics",-2.4041398,1.547666,False
Policy,POLICY-REF-0386,Safety and effectiveness,"AI, rights, and biometrics",-2.3701816,1.2645613,False
Policy,POLICY-REF-0392,Scientific reproducibility,"AI, rights, and biometrics",-2.253501,1.4934949,False
Policy,POLICY-REF-0399,Sensitive attributes,"AI, rights, and biometrics",-2.2833724,1.2070999,False
Policy,POLICY-REF-0401,Sensitive data protection,"AI, rights, and biometrics",-2.1025786,1.0359365,False
Policy,POLICY-REF-0406,Social scoring prohibition,"AI, rights, and biometrics",-2.3168468,1.4131268,False
Policy,POLICY-REF-0408,Socio-technical governance,"AI, rights, and biometrics",-1.7932892,1.565301,False
Policy,POLICY-REF-0412,Stakeholder participation,"AI, rights, and biometrics",-2.235299,1.4821229,False
Policy,POLICY-REF-0414,Standardisation request,"AI, rights, and biometrics",-2.1478558,1.2510636,False
Policy,POLICY-REF-0421,Supply-chain transparency,"AI, rights, and biometrics",-2.546157,1.5202005,False
Policy,POLICY-REF-0425,Surveillance oversight,"AI, rights, and biometrics",-2.2735996,1.2171587,False
Policy,POLICY-REF-0431,Synthetic media labelling,"AI, rights, and biometrics",-2.481014,1.520583,False
Policy,POLICY-REF-0435,Technical documentation,"AI, rights, and biometrics",-2.1720114,1.3465482,False
Policy,POLICY-REF-0436,Technical robustness,"AI, rights, and biometrics",-2.1635737,1.3228468,False
Policy,POLICY-REF-0453,Training data governance,"AI, rights, and biometrics",-1.7704445,1.4578476,False
Policy,POLICY-REF-0457,Transparency obligations,"AI, rights, and biometrics",-2.56571,1.4487647,False
Policy,POLICY-REF-0467,Vulnerable groups,"AI, rights, and biometrics",-2.4276793,1.1779095,False
Policy,POLICY-REF-0470,Welfare impacts,"AI, rights, and biometrics",-2.3589633,1.4145265,False
Policy,POLICY-REF-0472,Whole-of-government approach,"AI, rights, and biometrics",-2.4504783,1.2416799,False
Policy,POLICY-REF-0473,Worker surveillance safeguards,"AI, rights, and biometrics",-2.2375746,1.089492,False
Policy,POLICY-REF-0334,predictive policing,"AI, rights, and biometrics",1.3127865,1.9230077,False
Policy,POLICY-REF-0042,Algorithmic discrimination,Algorithmic fairness and bias governance,0.803863,2.1875384,False
Policy,POLICY-REF-0145,Digital inclusion,Algorithmic fairness and bias governance,0.03583917,2.824673,False
Policy,POLICY-REF-0153,Discriminatory Profiling,Algorithmic fairness and bias governance,0.8246026,2.2047713,False
Policy,POLICY-REF-0179,Equal opportunity,Algorithmic fairness and bias governance,0.16365264,3.0877638,False
Policy,POLICY-REF-0219,Gender bias,Algorithmic fairness and bias governance,1.1644675,2.2207081,False
Policy,POLICY-REF-0220,Gender equality,Algorithmic fairness and bias governance,0.15954344,2.9817262,False
Policy,POLICY-REF-0280,Intersectional Fairness,Algorithmic fairness and bias governance,0.1269287,3.10814,False
Policy,POLICY-REF-0284,Labour rights in the gig economy,Algorithmic fairness and bias governance,0.63511074,2.0374932,False
Policy,POLICY-REF-0403,Social Justice in AI,Algorithmic fairness and bias governance,0.03028164,3.0659661,False
Policy,POLICY-REF-0420,Structural Inequality,Algorithmic fairness and bias governance,0.61248046,2.4423838,False
Policy,POLICY-REF-0041,algorithmic bias,Algorithmic fairness and bias governance,1.0373037,2.1541834,False
Policy,POLICY-REF-0044,algorithmic fairness,Algorithmic fairness and bias governance,-0.09477107,3.2245147,False
Policy,POLICY-REF-0181,equity and inclusion,Algorithmic fairness and bias governance,-0.30955178,3.3576455,False
Policy,POLICY-REF-0188,ethics washing,Algorithmic fairness and bias governance,-0.2313002,3.9343176,False
Policy,POLICY-REF-0207,fairness,Algorithmic fairness and bias governance,-0.19900797,3.4146214,False
Policy,POLICY-REF-0258,inclusion and accessibility,Algorithmic fairness and bias governance,-0.38945526,2.8660605,False
Policy,POLICY-REF-0318,non-discrimination,Algorithmic fairness and bias governance,-0.38089538,3.418464,False
Policy,POLICY-REF-0338,procedural fairness,Algorithmic fairness and bias governance,-0.59703785,3.301734,False
Policy,POLICY-REF-0068,bias mitigation,Algorithmic fairness and bias mitigation,1.3965622,1.7022443,False
Policy,POLICY-REF-0043,Algorithmic explainability,Algorithmic transparency and accountability,-1.9915807,1.8930371,False
Policy,POLICY-REF-0047,Algorithmic transparency,Algorithmic transparency and accountability,-0.37461498,3.0102665,False
Policy,POLICY-REF-0071,Black-box systems,Algorithmic transparency and accountability,1.399252,2.9620228,False
Policy,POLICY-REF-0198,Explainable AI,Algorithmic transparency and accountability,1.5223289,3.3554206,False
Policy,POLICY-REF-0208,"Fairness, accountability and transparency",Algorithmic transparency and accountability,-0.41720465,3.2926743,False
Policy,POLICY-REF-0372,Right to an Explanation,Algorithmic transparency and accountability,-1.0753664,2.7783835,False
Policy,POLICY-REF-0448,Third-party auditing,Algorithmic transparency and accountability,-0.59103155,2.5691812,False
Policy,POLICY-REF-0458,Transparency Paradox,Algorithmic transparency and accountability,-0.36725515,3.0094283,False
Policy,POLICY-REF-0002,accountability gap,Algorithmic transparency and accountability,-0.6830649,3.3931413,False
Policy,POLICY-REF-0038,algorithmic accountability,Algorithmic transparency and accountability,-0.6809566,3.1444967,False
Policy,POLICY-REF-0039,algorithmic accountability in public sector,Algorithmic transparency and accountability,-0.7533373,3.0376153,False
Policy,POLICY-REF-0040,algorithmic audit,Algorithmic transparency and accountability,-0.64257663,2.7342312,False
Policy,POLICY-REF-0055,auditability,Algorithmic transparency and accountability,-0.5650005,2.8383772,False
Policy,POLICY-REF-0100,contestability,Algorithmic transparency and accountability,-0.7759963,2.865808,False
Policy,POLICY-REF-0152,disclosure obligations,Algorithmic transparency and accountability,-0.6460817,3.1836379,False
Policy,POLICY-REF-0159,documentation requirements,Algorithmic transparency and accountability,-0.3066273,0.30881876,False
Policy,POLICY-REF-0197,explainability,Algorithmic transparency and accountability,1.4551024,3.4166546,False
Policy,POLICY-REF-0279,interpretability,Algorithmic transparency and accountability,1.7845453,3.1029618,False
Policy,POLICY-REF-0302,model cards,Algorithmic transparency and accountability,-0.2766849,0.27597034,False
Policy,POLICY-REF-0447,third-party audit,Algorithmic transparency and accountability,-0.5632594,2.6609032,False
Policy,POLICY-REF-0452,traceability,Algorithmic transparency and accountability,-0.65809447,2.8717933,False
Policy,POLICY-REF-0456,transparency,Algorithmic transparency and accountability,-0.36113608,3.1923718,False
Policy,POLICY-REF-0004,Adaptive Governance,Data governance and digital sovereignty,-0.96836346,1.5085105,False
Policy,POLICY-REF-0046,Algorithmic Management,Data governance and digital sovereignty,0.6399804,1.7560108,False
Policy,POLICY-REF-0050,Anti-monopoly in Tech,Data governance and digital sovereignty,-0.4590025,1.58227,False
Policy,POLICY-REF-0101,Continuous Monitoring,Data governance and digital sovereignty,1.3322117,0.7252431,False
Policy,POLICY-REF-0110,Cybernetic Governance,Data governance and digital sovereignty,-1.1344657,1.3493526,False
Policy,POLICY-REF-0109,Cybernetic control,Data governance and digital sovereignty,2.1161575,1.4348809,False
Policy,POLICY-REF-0118,Data Dignity,Data governance and digital sovereignty,-1.1557233,0.8841239,False
Policy,POLICY-REF-0120,Data Governance Act,Data governance and digital sovereignty,-1.3203745,0.85188234,False
Policy,POLICY-REF-0117,Data colonialism,Data governance and digital sovereignty,-0.59640443,1.1035532,False
Policy,POLICY-REF-0121,Data localisation,Data governance and digital sovereignty,-1.1539273,0.606099,False
Policy,POLICY-REF-0127,Data provenance,Data governance and digital sovereignty,-1.2623521,0.7982627,False
Policy,POLICY-REF-0149,Digital Sovereignty,Data governance and digital sovereignty,-0.91379905,1.7043205,False
Policy,POLICY-REF-0150,Digital Twin Governance,Data governance and digital sovereignty,-1.147301,1.0544202,False
Policy,POLICY-REF-0209,Federated Learning Governance,Data governance and digital sovereignty,5.44429,2.1561568,False
Policy,POLICY-REF-0221,General Data Protection Regulation,Data governance and digital sovereignty,-1.0815811,0.6110037,False
Policy,POLICY-REF-0255,Hyper-Connected Society Governance,Data governance and digital sovereignty,-1.08419,1.486882,False
Policy,POLICY-REF-0315,Neocolonialism in Data,Data governance and digital sovereignty,0.01787113,1.6697955,False
Policy,POLICY-REF-0316,Neuromorphic Computing Policy,Data governance and digital sovereignty,4.3449016,3.16729,False
Policy,POLICY-REF-0335,Predictive Policing Ethics,Data governance and digital sovereignty,1.061834,1.8765337,False
Policy,POLICY-REF-0356,Recommender System Regulation,Data governance and digital sovereignty,0.7899758,1.7760196,False
Policy,POLICY-REF-0402,Social Credit Systems,Data governance and digital sovereignty,0.56181324,1.7573411,False
Policy,POLICY-REF-0417,State Surveillance,Data governance and digital sovereignty,0.33762008,1.5505034,False
Policy,POLICY-REF-0422,Supranational Governance,Data governance and digital sovereignty,-1.0571251,1.6133785,False
Policy,POLICY-REF-0424,Surveillance Capitalism,Data governance and digital sovereignty,0.22465736,1.6512316,False
Policy,POLICY-REF-0430,Synthetic Data Governance,Data governance and digital sovereignty,-1.1304721,0.85893404,False
Policy,POLICY-REF-0455,Transnational Norms,Data governance and digital sovereignty,-1.0291563,1.6639395,False
Policy,POLICY-REF-0119,data governance,Data governance and digital sovereignty,-1.1367583,0.7419228,False
Policy,POLICY-REF-0123,Data minimisation,Data protection and privacy,-0.9313433,0.43053538,False
Policy,POLICY-REF-0103,copyright and training data,Data protection and privacy,-1.512741,2.2681937,False
Policy,POLICY-REF-0106,cross-border data flows,Data protection and privacy,-1.0563436,0.42100328,False
Policy,POLICY-REF-0116,data anonymization,Data protection and privacy,-1.0201391,0.21477352,False
Policy,POLICY-REF-0122,data localization,Data protection and privacy,-1.0921726,0.49333337,False
Policy,POLICY-REF-0124,data minimization,Data protection and privacy,-0.9559763,0.29700986,False
Policy,POLICY-REF-0126,data protection,Data protection and privacy,-1.0822436,0.52636427,False
Policy,POLICY-REF-0128,data quality,Data protection and privacy,-1.0312079,0.49002868,False
Policy,POLICY-REF-0129,data sovereignty,Data protection and privacy,-1.1660949,0.6891722,False
Policy,POLICY-REF-0130,data subject rights,Data protection and privacy,-1.1206598,0.6222094,False
Policy,POLICY-REF-0131,datasheets for datasets,Data protection and privacy,-0.61530095,0.23130827,False
Policy,POLICY-REF-0132,de-identification,Data protection and privacy,-0.9928856,0.16710387,False
Policy,POLICY-REF-0215,function creep,Data protection and privacy,-0.84325916,0.16083379,False
Policy,POLICY-REF-0264,informed consent,Data protection and privacy,-1.055135,1.0586466,False
Policy,POLICY-REF-0327,personal data,Data protection and privacy,-1.0174216,0.30694878,False
Policy,POLICY-REF-0336,privacy by design,Data protection and privacy,-0.6476589,0.686345,False
Policy,POLICY-REF-0353,purpose limitation,Data protection and privacy,-0.90853417,0.41169357,False
Policy,POLICY-REF-0355,re-identification risk,Data protection and privacy,-0.9888778,0.2011621,False
Policy,POLICY-REF-0400,sensitive data,Data protection and privacy,-1.138847,0.3751575,False
Policy,POLICY-REF-0429,synthetic data,Data protection and privacy,-0.85639304,0.16379723,False
Policy,POLICY-REF-0445,text and data mining exception,Data protection and privacy,-1.2892214,0.6873552,False
Policy,POLICY-REF-0454,training data provenance,Data protection and privacy,-1.3104166,0.8371093,False
Policy,POLICY-REF-0013,AI Basic Act,Digital rights and legal frameworks,-0.7157367,1.9975132,False
Policy,POLICY-REF-0014,AI Bill of Rights,Digital rights and legal frameworks,-0.92761844,2.1439617,False
Policy,POLICY-REF-0054,Asimov's Laws of Robotics,Digital rights and legal frameworks,-0.41865614,3.2285986,False
Policy,POLICY-REF-0064,Autonomy and AI,Digital rights and legal frameworks,-0.30622965,2.0311189,False
Policy,POLICY-REF-0082,Civil Rights and Algorithms,Digital rights and legal frameworks,-0.38732514,2.214393,False
Policy,POLICY-REF-0088,Cognitive Liberty,Digital rights and legal frameworks,-0.46595746,1.9323606,False
Policy,POLICY-REF-0097,Consent in Data Collection,Digital rights and legal frameworks,-1.0782382,1.0824337,False
Policy,POLICY-REF-0125,Data Privacy,Digital rights and legal frameworks,-1.0440966,0.74486375,False
Policy,POLICY-REF-0143,Digital Human Rights,Digital rights and legal frameworks,-0.7640894,2.5022593,False
Policy,POLICY-REF-0189,EU AI Act,Digital rights and legal frameworks,-0.59554636,1.9403299,False
Policy,POLICY-REF-0176,Epistemic Injustice,Digital rights and legal frameworks,0.7129956,2.4473016,False
Policy,POLICY-REF-0200,Extraterritorial Application of Law,Digital rights and legal frameworks,-0.6196044,1.7992,False
Policy,POLICY-REF-0201,Facial Recognition Bans,Digital rights and legal frameworks,-0.12789811,1.6003255,False
