layer,period,x,y
Science,2021-22,-0.0610784724336273,0.017985337280207486
Science,2023-24,-0.059590941000669036,0.019440609458205953
Science,2025-26,-0.059186160196814205,0.01989760296696157
Technology,2021-22,-0.2073516545869628,0.008894395588966882
Technology,2023-24,-0.2076538522704593,0.009802462894890401
Technology,2025-26,-0.20758815173549147,0.014458420696896963
Policy,2021-22,0.3601350978647667,-0.04775890974934976
Policy,2023-24,0.3595018483678588,-0.04763229782811031
Policy,2025-26,0.3597976809241835,-0.04868684686124736
